change_24h,market_cap,name,price,volume_24h
+1.68%,$3.38 B,Cosmos,$8.63,$268 M
+0.44%,$3.23 B,Arbitrum,$1.11,$19.69 M
+4.40%,$3.14 B,Cronos,$0.117,$50.63 M
-0.09%,$3.09 B,Stellar,$0.1063,$62.25 M
+1.98%,$3.03 B,Monero,$164.03,$1.09 B
-3.75%,$2.99 B,Floki,$0.0003131,$6.15 M
+0.60%,$2.95 B,OKB,$49.16,$73.29 M
+0.62%,$2.86 B,The Graph,$0.3004,$87.88 M
-4.38%,$2.86 B,Arweave,$43.55,$6.68 B
+0.12%,$2.75 B,First Digital USD,$1.00,$208.19 M
+0.63%,$2.71 B,Optimism,$2.49,$202.55 M
+5.29%,$2.7 B,Sui,$1.11,$58.63 M
+1.45%,$2.57 B,VeChain,$0.03528,$62.64 M
+2.83%,$2.45 B,Injective,$26.28,$156.38 M
-1.43%,$2.3 B,Fantom,$0.82,$1.75 B
+1.69%,$2.33 B,Notcoin,$0.02268,$462.88 M
-1.87%,$2.26 B,Bonk,$0.00003332,$27.65 M
+1.53%,$2.2 B,Theta Network,$2.20,$202.63 M
-1.22%,$2.07 B,THORChain,$6.18,$126.88 M
+0.37%,$2.03 B,Lido DAO Token,$2.27,$114.84 M
-2.73%,$1.96 B,Celestia,$10.40,$206.8 M
-2.51%,$1.93 B,Ondo,$1.39,$201.62 M
-0.96%,$1.9 B,JasmyCoin,$0.03852,$34.13 M
-2.91%,$1.82 B,Bitget Token,$1.30,$165.59 M
-1.94%,$1.8 B,Fetch.ai,$2.12,$240.31 M
+2.68%,$1.74 B,Pyth Network,$0.4796,$211.04 M
-1.98%,$1.71 B,StarkNet,$1.32,$99.5 M
-1.29%,$1.55 B,Jupiter,$1.15,$74.07 M
+0.72%,$1.53 B,Aave,$102.98,$59.89 M
+0.22%,$1.52 B,Sei,$0.5201,$32 M
+0.07%,$1.52 B,Algorand,$0.1861,$216.08 M
+2.31%,$1.49 B,Ethena,$0.9815,$177.84 M
-1.17%,$1.46 B,Gala,$0.04634,$10.35 M
+0.06%,$1.43 B,WhiteBIT Token,$9.93,$28.95 M
+0.21%,$1.39 B,Flow,$0.9222,$21.88 M
-5.10%,$1.31 B,Beam,$0.02652,$103.99 M
-0.41%,$1.28 B,Chiliz,$0.1439,$47.12 M
+2.26%,$1.26 B,dYdX,$2.11,$32.95 M
+0.41%,$1.25 B,Bitcoin SV,$63.32,$90.64 M
+3.21%,$1.23 B,Axie Infinity,$8.48,$301.61 M
+4.01%,$1.19 B,Ordinals,$56.79,$8.9 M
+1.10%,$1.17 B,FLARE,$0.02865,$86.67 M
-1.37%,$1.15 B,SingularityNET,$0.897,$26.81 M
+1.09%,$1.14 B,BitTorrent,$0.000001174,$318.06 M
+2.22%,$1.14 B,Worldcoin,$4.92,$94.74 M
-1.16%,$1.13 B,Wormhole,$0.6269,$18.64 M
+4.41%,$1.11 B,Akash Network,$4.63,$20.83 M
-0.17%,$1.09 B,Quant,$90.56,$25.7 M
+1.24%,$1.07 B,MultiversX,$39.60,$28.9 M
+0.71%,$1.07 B,Neo,$15.11,$78.1 M
+1.24%,$1.06 B,The Sandbox,$0.4663,$24.06 M
+1.77%,$1.03 B,Ronin,$3.14,"$403,874"
+5.15%,$1.02 B,Tokenize Xchange,$12.78,"$728,558"
+0.90%,$973.1 M,KuCoin Token,$10.17,$309.8 M
+1.96%,$941.69 M,BOOK OF MEME,$0.01365,$23.48 M
+1.87%,$966.22 M,Mina,$0.8656,$54.52 M
+1.50%,$950.1 M,Pendle,$6.16,$22.87 M
-0.17%,$929.52 M,Tezos,$0.9443,$11.71 M
-0.33%,$922.52 M,eCash,$0.0000468,$27.64 M
+0.68%,$904.22 M,Synthetix,$2.76,$27.25 M
-0.74%,$904.15 M,Conflux,$0.2235,$114.15 M
-0.85%,$896.61 M,EOS,$0.7952,$47.07 M
+1.89%,$874.72 M,Gnosis,$337.78,$154.1 M
+2.62%,$836.4 M,PancakeSwap,$3.14,$5.49 M
+1.91%,$832.05 M,GateToken,$8.92,$71.8 M
+4.62%,$850.67 M,Aevo,$1.00,$7.35 M
+0.99%,$827.11 M,Nexo,$1.48,$19.96 M
-1.26%,$821.69 M,Safe,$1.93,$45.98 M
+3.11%,$822.19 M,ApeCoin,$1.36,$5.91 M
-1.93%,$812.69 M,AIOZ Network,$0.7398,$53.5 M
-0.38%,$787.98 M,Nervos Network,$0.01779,$126.43 M
+0.05%,$786.51 M,Ethereum Name Service,$24.95,$11.58 M
-2.28%,$778.36 M,Klaytn,$0.2108,$23.97 M
+1.51%,$776.9 M,Oasis Network,$0.1157,$16.4 M
+0.36%,$755.25 M,IOTA,$0.2298,$17.13 M
+2.72%,$752.58 M,Kava,$0.695,$4.57 M
-0.04%,$730.72 M,USDD,$0.9986,$47.37 M
+5.83%,$732.84 M,Livepeer,$22.47,$17.32 M
+0.51%,$691.4 M,Axelar,$1.01,$23.83 M
+0.06%,$691.28 M,Luna Classic,$0.0001193,$48.42 M
+1.29%,$679.07 M,Blur,$0.4109,$14.1 M
-0.01%,$674.8 M,Fasttoken,$2.21,$20.59 M
-0.01%,$647.96 M,Frax,$0.9977,$17.82 M
-3.26%,$643.27 M,Helium,$4.00,$18.21 M
+3.73%,$636.03 M,WOO Network,$0.3374,$13.46 M
+3.33%,$637.18 M,Echelon Prime,$17.81,$7.33 M
+1.56%,$626.38 M,Theta Fuel,$0.09532,$34.59 M
+3.56%,$612.82 M,IoTeX,$0.06491,$6.49 M
-0.08%,$598.36 M,Bitcoin Gold,$34.16,"$489,420"
+4.38%,$588.77 M,CorgiAI,$0.001714,$43.73 M
+10.16%,$588.48 M,MOG Coin,$0.000001507,$5.73 M
+1.14%,$583.62 M,Tether Gold,"$2,367.41",$74.52 M
-1.75%,$575.25 M,Memecoin,$0.02961,$37.69 M
+0.62%,$572.02 M,Curve DAO Token,$0.464,$7.33 M
+3.51%,$563.89 M,XDC Network,$0.03784,$15.84 M
+2.07%,$563.02 M,Osmosis,$0.8474,$24.5 M
-0.64%,$563.39 M,1inch Network,$0.4749,$175.42 M
+1.70%,$557.59 M,ether.fi,$4.84,$39.08 M
-3.99%,$557.02 M,Trust Wallet Token,$1.34,$71.11 M
-2.14%,$545.95 M,Astar,$0.09638,$114.75 M
-1.16%,$538.43 M,Arkham,$2.63,$12.57 M
-2.62%,$523.89 M,SuperFarm,$1.07,$19.16 M
+0.36%,$535.07 M,Aerodrome Finance,$1.09,$20.33 M
+2.69%,$520.99 M,dYdX,$2.12,$23.65 M
-1.36%,$512.66 M,Ocean Protocol,$0.902,$29.24 M
+1.84%,$505.29 M,Compound,$60.70,$37.13 M
+1.22%,$497.97 M,Luna,$0.6559,$40.8 M
+2.92%,$501.33 M,Golem,$0.5013,$48.38 M
+0.03%,$497.69 M,TrueUSD,$0.999,$29.34 M
+0.27%,$486.62 M,Green Metaverse Token,$0.24,$2.42 M
-1.95%,$487.13 M,WEMIX,$1.35,$62.68 M
-1.41%,$472.57 M,Raydium,$1.80,$28.03 M
+2.42%,$476.72 M,Dymension,$3.27,$28.87 M
+1.70%,$452.19 M,0x,$0.5336,$18.82 M
+0.14%,$453.62 M,APENFT,$0.0000004536,$32.13 M
-1.41%,$447.06 M,SSV Network,$44.71,$48.37 M
-2.01%,$445.66 M,JITO,$3.64,$5.91 M
+5.35%,$450.51 M,Rocket Pool,$22.12,$19.71 M
+2.74%,$446.09 M,Ankr,$0.04461,$16.51 M
+1.50%,$443 M,Metis,$77.91,$20.31 M
+0.77%,$439.4 M,Zilliqa,$0.02379,$28.18 M
+0.83%,$438.4 M,Enjin Coin,$0.2987,$18.85 M
-2.49%,$435.93 M,Celo,$0.808,$7.06 M
+0.83%,$434.59 M,PAX Gold,"$2,353.55",$14.62 M
+2.28%,$433.03 M,Galxe,$3.75,$38.37 M
+0.29%,$429.51 M,Reserve Rights,$0.008488,$48.41 M
-3.55%,$428.17 M,Zcash,$26.22,$5.39 M
+1.40%,$420.34 M,Aragon,$9.73,$2.22 M
-0.04%,$420.71 M,Radix,$0.0402,$40.25 M
+2.99%,$413.65 M,SKALE Network,$0.07683,$39.24 M
+2.13%,$414.35 M,MX Token,$4.21,$59.67 M
+17.25%,$408.96 M,GMX,$42.95,$6.72 M
+0.06%,$403.11 M,Biconomy,$0.5577,$46.15 M
+1.82%,$401.22 M,Altlayer,$0.3647,$9.18 M
+0.05%,$402.46 M,Ravencoin,$0.02891,$21.63 M
+0.34%,$399.8 M,PayPal USD,$0.9991,$8.57 M
+4.20%,$399.08 M,ETHPoW,$3.70,$16.24 M
+1.45%,$397.82 M,Illuvium,$91.38,$115.38 M
+0.56%,$398.3 M,Turbo,$0.006255,$86.4 M
+4.14%,$390.87 M,Pixels,$0.5069,$63.17 M
-1.04%,$381.22 M,Yield Guild Games,$1.04,$30.3 M
-0.99%,$378.77 M,Polymesh,$0.4444,$8.09 M
-0.71%,$375.6 M,Siacoin,$0.006537,$38.3 M
+0.92%,$375.23 M,Qtum,$3.57,$14.37 M
-0.32%,$375.44 M,Frax Share,$4.70,$4.32 M
-0.61%,$372.84 M,SafePal,$0.8061,$33.05 M
+1.44%,$371.78 M,Loopring,$0.272,$14.94 M
+0.65%,$368.02 M,Basic Attention Token,$0.2462,$28.35 M
-0.80%,$367.66 M,ZetaChain,$1.34,$35.52 M
-0.30%,$356.85 M,Dash,$30.18,$2.26 M
-2.16%,$354.4 M,OriginTrail,$0.872,$10.83 M
-0.00%,$353.59 M,aelf,$0.4839,$49.45 M
+1.98%,$351.13 M,Mask Network,$3.66,$45.11 M
+8.02%,$350.08 M,Degen,$0.02469,$9.28 M
+0.20%,$345.56 M,Threshold,$0.03557,$9 M
+0.21%,$343.92 M,Flux,$0.9886,$6.27 M
-1.47%,$343.44 M,Casper,$0.02847,$2.51 M
+1.30%,$340.16 M,Decred,$21.12,$1.72 M
-2.19%,$330.93 M,Centrifuge,$0.6691,$7.63 M
+0.30%,$328.7 M,Gas,$5.06,$83.65 M
+0.28%,$323.43 M,Chia Network,$30.77,$76.44 M
+1.75%,$36.66 B,Lido stETH,"$3,851.57",$29.87 M
+1.43%,$14.39 B,Lido wstETH,"$4,511.64",$951.74 M
+1.85%,$13.02 B,WETH,"$3,858.79",$1.07 M
-0.01%,$10 B,Wrapped TRON,$0.1143,"$46,591"
+1.19%,$6.41 B,ether fi,"$3,847.47",$8.89 M
+1.05%,$5.59 B,Wrapped eETH,"$4,004.60",$35.53 M
-0.08%,$4.06 B,Bitcoin BEP2,"$71,009.19",$18.44 M
+1.69%,$4.02 B,Renzo Protocol,"$3,808.86",$8.55 M
+1.77%,$3.6 B,Wrapped Beacon ETH,"$4,010.45",$101.61 M
+0.01%,$3.11 B,Ethena USDe,$1.00,$43.72 M
+1.49%,$2.84 B,bittensor,$412.36,N/A
+0.00%,$2.45 B,Wrapped EOS,$2.20,$1.61 M
+0.50%,$2.17 B,Rocket Pool ETH,"$4,247.46",$58.93 M
+0.27%,$1.85 B,Jito Staked SOL,$192.94,$4.35 M
+1.63%,$1.82 B,Mantle Staked Ether,"$3,979.27",$80.38 M
-3.53%,$1.74 B,Core DAO,$1.95,$25.52 M
-0.76%,$1.58 B,ZEEBU,$4.80,$3.37 M
+0.15%,$1.29 B,Ethena Staked USDe,$1.08,$63.55 M
+17.53%,$1.35 B,Brett,$0.1365,$1.91 M
+1.40%,$1.16 B,Kelp DAO Restaked ETH,"$3,900.44",$6.39 M
+1.20%,$1.14 B,Cheelee,$21.10,$276.52 M
+0.08%,$1.11 B,Wrapped BNB,$698.67,$21.87 M
+0.43%,$944.78 M,MARINADE STAKED SOL,$206.51,$64.53 M
-1.78%,$909.96 M,DOG•GO•TO•THE•MOON,$0.0091,$6.47 M
+0.41%,$772.13 M,DeXe,$13.52,$54.57 M
+0.51%,$747.99 M,MANTRA,$0.9421,$3.75 M
+1.73%,$691.59 M,Coinbase Wrapped Staked ETH,"$4,133.62","$861,635"
+1.47%,$686.34 M,swETH,"$4,079.29",$34.11 M
+1.10%,$687.92 M,SATS,$0.0003276,$477.66 M
+22.82%,$643.99 M,ConstitutionDAO,$0.1273,"$71,750"
+0.73%,$636.3 M,Frax Staked Ether,"$4,165.28",N/A
+0.00%,$609.3 M,Compound USD Coin,$0.0229,$44.05 M
+1.28%,$597.91 M,Manta Network,$1.84,$13.41 M
-7.33%,$535.18 M,MAGA,$12.16,$5.73 M
+45.89%,$554.15 M,IPVERSE (ETH),$3.69,$12.07 M
-1.48%,$518.25 M,FTX Token,$1.58,$1.56 M
+1.29%,$497.51 M,Restaked Swell Ethereum,"$3,854.77","$921,561"
+2.10%,$495.5 M,Stader ETHx,"$3,974.67",$7.99 M
+8.34%,$470.57 M,Wrapped Pulse,$0.00005523,$36.14 M
-4.23%,$469.27 M,Popcat,$0.4789,$43.9 M
-0.20%,$419.29 M,USDB,$1.00,$29.29 M
+0.31%,$417.38 M,Socean Staked Sol,$209.18,$47.74 M
-3.92%,$405.01 M,SPACE ID,$0.7331,$17.99 M
+1.61%,$400.46 M,BinaryX,$1.09,"$125,865"
-0.34%,$402.37 M,Orbler,$0.3962,$17.26 M
+0.37%,$396.24 M,BlazeStake Staked SOL,$196.46,$2.85 M
+1.89%,$388.69 M,Beacon ETH,"$3,849.43",$5.64 M
+4.83%,$385.92 M,Arcblock,$3.92,$62.34 M
+0.00%,$376.09 M,NXM,$57.03,"$25,035"
+0.48%,$335.61 M,Liquid Staked ETH,"$4,025.92",$402.02 M
+15.13%,$332.28 M,BounceBit,$0.7812,$13.94 M
+6.88%,$320.71 M,RSS3,$0.3315,$5.55 M
-1.45%,$317.15 M,Harmony,$0.02266,$6.76 M
+1.81%,$314.43 M,PAAL AI,$0.3842,$28.63 M
+1.25%,$310.83 M,SushiSwap,$1.19,$27.48 M
+0.48%,$308.88 M,Vanar Chain,$0.2291,$18.63 M
+0.77%,$301.36 M,JUST,$0.03044,$4.39 M
+8.72%,$298.28 M,NetMind Token,$8.92,$1.24 M
+2.25%,$290.38 M,Telcoin,$0.003276,$12.1 M
-0.06%,$288.73 M,Amp,$0.006838,$18.76 M
-1.84%,$286.88 M,API3,$3.32,$8.14 M
+0.60%,$283.74 M,Moonbeam,$0.3276,$4.47 M
+0.40%,$280.32 M,BENQI Liquid Staked AVAX,$41.76,$8.4 M
-2.60%,$280.42 M,Chromia,$0.3452,$8.45 M
-1.54%,$276.46 M,Baby Doge Coin,$0.000000001923,"$511,877"
+27.84%,$335.68 M,HEX,$0.001936,"$459,647"
-1.63%,$275.91 M,Tribe,$0.5127,$70.04 M
+14.32%,$271.79 M,Myro,$0.2878,$35.33 M
+1.43%,$273.2 M,Tellor,$105.42,$12.51 M
-0.21%,$273.05 M,Kusama,$32.24,$10.74 M
+1.25%,$270.8 M,Ontology,$0.3007,$15.62 M
+0.87%,$268.32 M,UMA,$3.32,$4.33 M
-1.11%,$267.58 M,Convex Finance,$2.79,$51.54 M
+2.18%,$269.52 M,Saga,$2.86,"$757,829"
+2.25%,$259.75 M,0x0.ai: AI Smart Contract,$0.2991,$7.38 M
-0.15%,$253.3 M,Band Protocol,$1.77,$4.42 M
-0.08%,$253.16 M,Bitcoin Avalanche Bridged,"$70,970.10",$1.55 M
+0.29%,$252.64 M,tBTC,"$70,802.03",$8.5 M
-2.92%,$250.12 M,Open Campus,$0.8563,$22.52 M
+3.15%,$250.01 M,Alchemy Pay,$0.03229,$118.24 M
+3.25%,$247.19 M,Xai,$0.892,$2.75 M
-0.21%,$244.19 M,VeThor Token,$0.003178,"$348,707"
-2.04%,$241.74 M,Wrapped Centrifuge,$0.671,$4.83 M
-1.54%,$241.33 M,iExec RLC,$3.33,$8.22 M
+4.94%,$239.57 M,Nosana,$4.97,"$668,652"
-1.17%,$234.65 M,FINSCHIA,$29.73,$10.55 M
+0.21%,$237.33 M,Delysium,$0.3076,$10.82 M
-1.41%,$238.26 M,Audius,$0.1934,$19 M
+0.48%,$236.24 M,yearn.finance,"$7,098.96",$6.56 M
+1.91%,$234.02 M,Balancer,$4.09,$7.54 M
-0.35%,$233.63 M,Kadena,$0.8415,N/A
+0.00%,$233.97 M,Mirrored ProShares VIX,$106.15,$28.14 M
-0.94%,$230.15 M,MAGIC,$0.8957,$47.34 M
+5.48%,$228.74 M,Sleepless AI,$1.24,$7.75 M
-0.14%,$227.69 M,Creditcoin,$0.6675,$4.25 M
+1.44%,$225.43 M,WAX,$0.06534,$29.12 M
-3.62%,$225.98 M,TrueFi,$0.1979,$10.01 M
+3.44%,$218.88 M,Zentry,$0.04029,$2.41 M
+0.26%,$217.1 M,ICON,$0.2167,$9.35 M
-2.91%,$217.64 M,COTI,$0.1384,$1.16 M
-0.69%,$216.41 M,EscoinToken,$1.31,$1.7 M
-0.68%,$217.86 M,SwissBorg,$0.2214,$1.36 M
+0.67%,$216.88 M,Beldex,$0.03364,$5.72 M
-1.21%,$216.87 M,Neutron,$0.7759,$50.12 M
+4.74%,$213.58 M,Omni Network,$20.55,$1.54 B
+0.29%,$212.74 M,Wrapped Solana,$173.29,"$779,321"
-0.42%,$213.61 M,Pocket Network,$0.1303,$462.04 M
+23.37%,$225.56 M,BEERCOIN,$0.0004103,$11.43 M
-1.25%,$212.43 M,Coin98,$0.2749,$6.69 M
-0.46%,$209.67 M,SXP,$0.3459,"$294,081"
-0.12%,$209.71 M,Synclub,$705.59,$18.4 M
+1.15%,$208.38 M,Big Time,$0.2225,$43.39 M
+2.74%,$209.35 M,Portal,$1.02,"$163,354"
+1.32%,$205.79 M,Mythos,$0.406,$8.73 M
+0.39%,$206.26 M,Storj,$0.535,$11.98 M
-0.46%,$207.37 M,Prometeus,$11.36,$22.49 M
+1.45%,$204.64 M,CyberConnect,$9.20,$3.21 M
+4.09%,$203.23 M,Marlin,$0.02513,$80.44 M
+8.24%,$201.28 M,Renzo,$0.175,$64.11 M
+11.15%,$202.82 M,Merlin Chain,$0.5634,$5.39 M
+0.15%,$201.25 M,Cartesi,$0.246,"$7,670"
+1.59%,$205.83 M,MimbleWimbleCoin,$18.79,"$318,634"
+2.31%,$197.63 M,Gekko HQ,$0.000003294,"$25,142"
+0.42%,$199.63 M,Olympus,$12.21,$23.44 M
-4.98%,$195.43 M,NEM,$0.02171,$7.13 M
+1.75%,$197.18 M,DigiByte,$0.01156,$5.76 M
+4.51%,$197.24 M,Propy,$1.97,$7.88 M
+2.05%,$197.29 M,Lisk,$1.53,"$687,012"
-1.01%,$196.56 M,LCX,$0.2547,$2.46 M
-3.29%,$196.09 M,Aleph Zero,$0.735,$1.08 M
-13.16%,$191.64 M,Toshi,$0.0004696,$4.38 M
-1.13%,$193.64 M,Numeraire,$28.32,$121.51 M
+6.35%,$194.53 M,Smooth Love Potion,$0.0047,$4.25 M
+0.63%,$193.07 M,Celer Network,$0.02493,$16.9 M
+0.36%,$192.15 M,Wrapped AVAX,$36.36,$159.34 M
+14.73%,$190.99 M,SLERF,$0.382,$9.91 M
+2.15%,$190.4 M,Decentralized Social,$21.43,$18.96 M
-0.16%,$187.84 M,Dusk ,$0.446,$1.1 M
+0.54%,$186.75 M,Airtor Protocol,$2.07,$7.33 M
-0.97%,$187.34 M,Coq Inu,$0.000002699,$1.28 M
+9.29%,$186.71 M,Rollbit Coin,$0.07001,$24.42 M
+0.38%,$182.64 M,Milady Meme Coin,$0.0000002487,$7.31 M
-0.08%,$184.46 M,IOST,$0.008654,$1.97 M
+1.18%,$178.61 M,PUPS (Ordinals),$22.99,$9.55 M
+0.32%,$181.12 M,Venus,$11.38,$7.32 M
+1.53%,$179.17 M,RSK Infrastructure Framework,$0.1792,"$111,357"
+1.02%,$178.53 M,Braintrust,$0.7628,"$123,867"
-0.42%,$177.41 M,FLEX,$1.80,"$427,766"
+0.04%,$177.59 M,H2O Dao,$0.2197,$3.81 M
-2.91%,$176.16 M,Venom,$0.1781,"$494,854"
+4.77%,$176.12 M,Songbird,$0.01187,"$495,647"
-1.88%,$176.58 M,Chintai,$0.1768,$2.78 M
+1.06%,$176.57 M,Oraichain Token,$13.90,"$744,863"
+0.03%,$174.98 M,Bitkub Coin,$1.97,$5.09 M
+18.70%,$173.59 M,Alephium,$2.17,$23.42 M
-11.28%,$171.28 M,Ponke,$0.3985,$5.42 M
+0.50%,$172.8 M,JOE,$0.4804,"$630,194"
+4.45%,$171.86 M,VVS Finance,$0.000003769,$3.26 M
-0.67%,$171.42 M,Nano,$1.29,$67.72 M
+2.16%,$172.2 M,TokenFi,$0.1722,$15.52 M
+3.30%,$173.88 M,Apu Apustaja,$0.000556,$17.89 M
+7.80%,$163.32 M,michi,$0.2939,$95.82 M
+4.90%,$169.15 M,Tensor,$1.35,N/A
+0.00%,$167.3 M,Alchemix USD,$1.00,$4.85 M
-1.63%,$165.85 M,Everipedia,$0.00902,"$250,664"
-0.41%,$165.72 M,USDJ,$1.08,$105.15 M
-5.90%,$165.47 M,Waves,$1.44,N/A
+0.00%,$164.19 M,Bridge$,$2.33,"$805,036"
-6.58%,$163.6 M,Kujira,$1.34,$1.25 M
+3.25%,$162.97 M,Covalent,$0.2373,"$602,235"
-3.95%,$162.68 M,Bitcoin Wizards,$7.75,$10.23 M
+1.01%,$161.84 M,TerraClassicUSD,$0.02375,"$34,807"
+2.32%,$160.96 M,Keep Network,$0.1692,$1.9 M
+1.10%,$160.28 M,World Mobile Token,$0.3259,$1.6 M
+4.00%,$161.62 M,Ribbon Finance,$0.9961,$8.28 M
-1.52%,$159.02 M,Ontology Gas,$0.4189,"$812,349"
+1.01%,$157.78 M,SmarDex,$0.01889,$24.49 M
+0.05%,$158.72 M,Vulcan Forged PYR,$5.65,$2.39 M
-1.58%,$156.34 M,Oasys,$0.07025,$1.1 M
-7.46%,$155.91 M,BitMart Token,$0.4808,$6.67 M
+0.68%,$153.57 M,Powerledger,$0.2997,"$782,732"
-2.48%,$154.37 M,Wilder World,$0.5901,$2.5 M
-0.16%,$152.72 M,Hive,$0.305,N/A
+0.00%,$153.58 M,QUAI DAO,$3.86,$3 M
-4.21%,$153.46 M,Syscoin,$0.195,$3.28 M
-1.59%,$149.88 M,Helium Mobile,$0.001822,$48.01 M
+3.67%,$150.82 M,Frontier,$1.68,"$105,989"
+4.65%,$150.35 M,Stride,$1.71,N/A
+3.51%,$150.85 M,Spectral,$14.65,$26.16 M
-4.39%,$149.17 M,Wen,$0.000205,"$105,849"
+0.04%,$149.23 M,Metars Genesis,$1.77,$8.03 M
+3.03%,$149.04 M,Bone ShibaSwap,$0.6482,$7.61 M
+2.68%,$148.4 M,Seedify.fund,$2.45,$23.15 M
+3.84%,$147.42 M,Dent,$0.001474,$10.65 M
-7.52%,$148.37 M,Cream Finance,$79.95,$9.05 M
-1.74%,$146.34 M,Hooked Protocol,$0.9172,$5.11 M
+3.08%,$145.05 M,Zigcoin,$0.1012,$4.12 M
+4.70%,$146.01 M,Request,$0.1461,$12.6 M
+0.00%,$145.76 M,Pax Dollar,$1.00,$39.04 M
+3.96%,$142.53 M,Bounce Token,$21.93,$115.87 M
-4.38%,$143.51 M,MyNeighborAlice,$2.11,$5.2 M
+1.38%,$142.89 M,Stratis [New],$0.07416,$16.34 M
+13.46%,$148.01 M,Moonriver,$16.49,$4.66 M
+1.09%,$142.03 M,Ark,$0.7834,$23.02 M
-7.60%,$141.59 M,Nakamoto Games,$1.57,"$292,508"
-0.45%,$141.27 M,ECOMI,$0.0005185,$1.78 M
-0.37%,$140.1 M,BORA,$0.141,$3.18 M
-3.77%,$140.89 M,HarryPotterObamaSonic10Inu,$0.1409,$11.51 M
-0.03%,$140.54 M,crvUSD,$0.9983,$31.74 M
-0.79%,$140.16 M,NFPrompt,$0.5606,$5.75 M
+0.20%,$139.89 M,Phala Network,$0.1923,"$764,669"
+1.20%,$140.14 M,Polygon Ecosystem Token,$0.7235,$4.87 M
-1.83%,$139.22 M,Horizen,$9.24,$5.15 M
-0.61%,$138.75 M,Pundi X[new],$0.5368,"$428,863"
+1.29%,$139.29 M,inSure DeFi,$0.005199,$9.32 M
+0.49%,$138.22 M,Phoenix Global (new),$2.78,"$34,373"
+0.73%,$138.1 M,Lido Staked Matic,$0.8091,$1.59 M
+0.20%,$137.08 M,Status,$0.03529,$5.11 M
+0.85%,$136.05 M,Synapse,$0.7319,$29.57 M
-5.70%,$136.6 M,MANEKI,$0.01622,$1.32 M
-4.77%,$134.16 M,Syntropy,$0.1839,$1.88 M
-0.02%,$135.01 M,STASIS EURO,$1.09,$65.89 M
-1.35%,$134.87 M,ApeX Protocol,$2.89,$28.94 M
+4.13%,$132.43 M,Velo,$0.01792,$25.07 M
-1.08%,$132.1 M,Stargate Finance,$0.6465,$7.52 M
-0.20%,$134.18 M,DODO,$0.2183,$3.76 M
-0.99%,$133.67 M,LimeWire,$0.4659,$1.57 M
-6.38%,$132.58 M,Clearpool,$0.2186,"$45,244"
+1.46%,$131.93 M,Staked ETH,"$3,931.33",$41.82 M
+0.61%,$131.52 M,Spell Token,$0.001225,N/A
+1.80%,$131.75 M,Crypto.com Staked ETH,"$3,931.35",$1.82 M
+3.69%,$131.4 M,NYM,$0.1662,$16.95 M
-0.78%,$131.38 M,Fusionist,$5.98,$25 M
+9.98%,$131.7 M,Adventure Gold,$1.70,$10.14 M
-0.25%,$129.17 M,MVL,$0.005177,$6.48 M
-0.99%,$126.59 M,Hashflow,$0.311,$3
+168.64%,$126.37 M,Ecoin,$0.000274,$20.85 M
